,0
1717,513504
1718,513504
1719,513488
1720,513520
1721,513504
1722,513504
1723,513504
1724,513504
1725,513520
1726,513504
1727,513520
1728,513536
1729,513520
1730,513488
1731,513504
1732,513504
1733,513488
1734,513504
1735,513504
1736,513504
1737,513520
1738,513488
1739,513504
1740,513504
1741,513504
1742,513488
1743,513504
1744,513520
1745,513504
1746,513520
1747,513504
1748,513536
1749,513488
1750,513488
1751,513488
1752,513488
1753,513504
1754,513504
1755,513504
1756,513520
1757,513504
1758,513520
1759,513488
1760,513520
1761,513536
1762,513488
1763,513504
1764,513472
1765,513504
1766,513504
1767,513520
1768,513504
1769,513504
1770,513504
1771,513504
1772,513520
1773,513488
1774,513488
1775,513504
1776,513520
1777,513520
1778,513488
1779,513488
1780,513488
1781,513536
1782,513504
1783,513488
1784,513504
1785,513520
1786,513520
1787,513520
1788,513504
1789,513488
1790,513488
1791,513504
1792,513504
1793,513536
1794,513488
1795,513520
1796,513520
1797,513520
1798,513504
1799,513520
1800,513520
1801,513520
1802,513504
1803,513520
1804,513504
1805,513504
1806,513504
1807,513504
1808,513520
1809,513504
1810,513504
1811,513504
1812,513520
1813,513520
1814,513520
1815,513504
1816,513504
1817,513520
1818,513504
1819,513552
1820,513520
1821,513536
1822,513504
1823,513504
1824,513520
1825,513504
1826,513520
1827,513520
1828,513520
1829,513504
1830,513504
1831,513520
1832,513520
1833,513520
1834,513520
1835,513504
1836,513536
1837,513536
1838,513504
1839,513504
1840,513520
1841,513520
1842,513520
1843,513536
1844,513504
1845,513504
1846,513552
1847,513520
1848,513520
1849,513504
1850,513520
1851,513520
1852,513504
1853,513536
1854,513504
1855,513520
1856,513504
1857,513504
1858,513520
1859,513504
1860,513520
1861,513520
1862,513504
1863,513520
1864,513536
1865,513520
1866,513536
1867,513504
1868,513488
1869,513520
1870,513536
1871,513504
1872,513536
1873,513536
1874,513520
1875,513504
1876,513504
1877,513504
1878,513520
1879,513520
1880,513504
1881,513504
1882,513536
1883,513504
1884,513504
1885,513504
1886,513520
1887,513504
1888,513536
1889,513504
1890,513504
1891,513536
1892,513536
1893,513504
1894,513520
1895,513520
1896,513520
1897,513520
1898,513504
1899,513536
1900,513504
1901,513488
1902,513504
1903,513504
1904,513536
1905,513488
1906,513504
1907,513520
1908,513520
1909,513504
1910,513504
1911,513520
1912,513520
1913,513504
1914,513536
1915,513520
1916,513520
1917,513536
1918,513520
1919,513520
1920,513520
1921,513520
1922,513536
1923,513504
1924,513520
1925,513536
1926,513520
1927,513504
1928,513520
1929,513536
1930,513504
1931,513520
1932,513520
1933,513520
1934,513520
1935,513504
1936,513520
1937,513520
1938,513504
1939,513504
1940,513520
1941,513536
1942,513504
1943,513504
1944,513520
1945,513536
1946,513488
1947,513520
1948,513504
1949,513504
1950,513504
1951,513520
1952,513504
1953,513536
1954,513504
1955,513488
1956,513520
1957,513520
1958,513520
1959,513504
1960,513504
1961,513520
1962,513504
1963,513504
1964,513504
1965,513504
1966,513536
1967,513520
1968,513520
1969,513520
1970,513488
1971,513504
1972,513536
1973,513504
1974,513488
1975,513504
1976,513520
1977,513520
1978,513504
1979,513488
1980,513504
1981,513520
1982,513488
1983,513504
1984,513536
1985,513504
1986,513504
1987,513520
1988,513536
1989,513520
1990,513504
1991,513520
1992,513504
1993,513520
1994,513520
1995,513520
1996,513520
1997,513504
1998,513520
1999,513504
2000,513504
2001,513520
2002,513504
2003,513520
2004,513504
2005,513520
2006,513504
2007,513520
2008,513536
2009,513504
2010,513504
2011,513504
2012,513488
2013,513504
2014,513536
2015,513520
2016,513520
2017,513488
2018,513536
2019,513504
2020,513520
2021,513536
2022,513536
2023,513520
2024,513536
2025,513520
2026,513504
2027,513520
2028,513504
2029,513488
2030,513488
2031,513504
2032,513520
2033,513504
2034,513520
2035,513504
2036,513520
2037,513520
2038,513504
2039,513536
2040,513504
2041,513520
2042,513536
2043,513504
2044,513504
2045,513504
2046,513504
2047,513520
2048,513504
2049,513504
2050,513504
2051,513504
2052,513504
2053,513536
2054,513504
2055,513520
2056,513504
2057,513536
2058,513504
2059,513504
2060,513504
2061,513520
2062,513488
2063,513504
2064,513504
2065,513504
2066,513520
2067,513504
2068,513520
2069,513488
2070,513504
2071,513488
2072,513520
2073,513504
2074,513472
2075,513504
2076,513504
2077,513536
2078,513504
2079,513520
2080,513504
2081,513520
2082,513504
2083,513520
2084,513504
2085,513488
2086,513504
2087,513520
2088,513504
2089,513520
2090,513488
2091,513504
2092,513504
2093,513520
2094,513504
2095,513504
2096,513504
2097,513504
2098,513520
2099,513504
2100,513520
2101,513520
2102,513520
2103,513536
2104,513520
2105,513504
2106,513520
2107,513520
2108,513488
2109,513488
2110,513520
2111,513520
2112,513504
2113,513504
2114,513504
2115,513520
2116,513488
2117,513504
2118,513504
2119,513520
2120,513520
2121,513520
2122,513520
2123,513536
2124,513504
2125,513520
2126,513504
2127,513504
2128,513536
2129,513520
2130,513520
2131,513520
2132,513504
2133,513536
2134,513520
2135,513488
2136,513520
2137,513504
2138,513520
2139,513520
2140,513520
2141,513520
2142,513504
2143,513504
2144,513520
2145,513504
2146,513520
2147,513504
2148,513488
2149,513504
2150,513504
2151,513488
2152,513536
2153,513504
2154,513504
2155,513520
2156,513520
2157,513520
2158,513504
2159,513472
2160,513536
2161,513520
2162,513504
2163,513536
2164,513520
2165,513520
2166,513504
2167,513504
2168,513504
2169,513504
2170,513536
2171,513504
2172,513488
2173,513520
2174,513520
2175,513520
2176,513520
2177,513520
2178,513472
2179,513504
2180,513520
2181,513488
2182,513504
2183,513520
2184,513488
2185,513520
2186,513520
2187,513504
2188,513504
2189,513520
2190,513504
2191,513488
2192,513504
2193,513504
2194,513504
2195,513504
2196,513472
2197,513504
2198,513504
2199,513520
2200,513520
2201,513504
2202,513536
2203,513504
2204,513520
2205,513504
2206,513520
2207,513520
2208,513504
2209,513536
2210,513488
2211,513504
2212,513504
2213,513520
2214,513520
2215,513488
2216,513504
2217,513504
2218,513504
2219,513520
2220,513488
2221,513504
2222,513504
2223,513504
2224,513488
2225,513504
2226,513504
2227,513504
2228,513520
2229,513520
2230,513504
2231,513504
2232,513520
2233,513504
2234,513504
2235,513488
2236,513520
2237,513504
2238,513520
2239,513520
2240,513504
2241,513504
2242,513504
2243,513504
2244,513504
2245,513520
2246,513488
2247,513472
2248,513504
2249,513520
2250,513504
2251,513520
2252,513504
2253,513504
2254,513504
2255,513504
2256,513488
2257,513536
2258,513520
2259,513520
2260,513520
2261,513520
2262,513536
2263,513504
2264,513504
2265,513520
2266,513536
2267,513520
2268,513504
2269,513504
2270,513504
2271,513552
2272,513520
2273,513488
2274,513504
2275,513520
2276,513520
2277,513504
2278,513520
2279,513504
2280,513536
2281,513536
2282,513504
2283,513520
2284,513520
2285,513536
2286,513520
2287,513504
2288,513504
2289,513520
2290,513488
2291,513520
2292,513504
2293,513520
2294,513504
2295,513536
2296,513504
2297,513504
2298,513504
2299,513504
2300,513520
2301,513536
2302,513536
2303,513536
2304,513504
2305,513504
2306,513536
2307,513536
2308,513504
2309,513504
2310,513520
2311,513520
2312,513504
2313,513520
2314,513536
2315,513504
2316,513504
2317,513504
2318,513520
2319,513504
2320,513536
2321,513536
2322,513488
2323,513520
2324,513504
2325,513520
2326,513536
2327,513504
2328,513504
2329,513504
2330,513552
2331,513536
2332,513504
2333,513520
2334,513504
2335,513520
2336,513520
2337,513504
2338,513504
2339,513536
2340,513504
2341,513520
2342,513504
2343,513504
2344,513504
2345,513520
2346,513504
2347,513536
2348,513520
2349,513520
2350,513536
2351,513504
2352,513504
2353,513488
2354,513504
2355,513488
2356,513504
2357,513504
2358,513536
2359,513488
2360,513504
2361,513504
2362,513488
2363,513488
2364,513488
2365,513488
2366,513520
2367,513504
2368,513520
2369,513504
2370,513488
2371,513504
2372,513536
2373,513520
2374,513520
2375,513504
2376,513504
2377,513520
2378,513504
2379,513488
2380,513520
2381,513488
2382,513520
2383,513504
2384,513536
2385,513504
2386,513488
2387,513504
2388,513520
2389,513504
2390,513504
2391,513520
2392,513520
2393,513504
2394,513520
2395,513504
2396,513504
2397,513488
2398,513504
2399,513504
2400,513504
2401,513504
2402,513536
2403,513504
2404,513488
2405,513488
2406,513504
2407,513504
2408,513504
2409,513488
2410,513504
2411,513504
2412,513504
2413,513504
2414,513504
2415,513536
2416,513520
2417,513488
2418,513520
2419,513504
2420,513536
2421,513520
2422,513536
2423,513536
2424,513504
2425,513520
2426,513520
2427,513504
2428,513504
2429,513472
2430,513520
2431,513520
2432,513488
2433,513520
2434,513520
2435,513504
2436,513520
2437,513504
2438,513504
2439,513504
2440,513488
2441,513520
2442,513520
2443,513504
2444,513504
2445,513520
2446,513520
2447,513504
2448,513504
2449,513488
2450,513488
2451,513488
2452,513504
2453,513520
2454,513520
2455,513488
2456,513504
2457,513488
2458,513504
2459,513504
2460,513488
2461,513536
2462,513504
2463,513520
2464,513504
2465,513488
2466,513520
2467,513488
2468,513536
2469,513520
2470,513504
2471,513504
2472,513504
2473,513520
2474,513520
2475,513504
2476,513520
2477,513536
2478,513504
2479,513504
2480,513488
2481,513488
2482,513504
2483,513504
2484,513520
2485,513504
2486,513520
2487,513536
2488,513520
2489,513520
2490,513504
2491,513520
2492,513504
2493,513504
2494,513536
2495,513520
2496,513504
