,0
1915,537744
1916,537760
1917,537776
1918,537776
1919,537744
1920,537744
1921,537760
1922,537760
1923,537744
1924,537792
1925,537744
1926,537744
1927,537728
1928,537760
1929,537744
1930,537792
1931,537760
1932,537760
1933,537728
1934,537760
1935,537744
1936,537744
1937,537744
1938,537760
1939,537760
1940,537728
1941,537744
1942,537744
1943,537776
1944,537744
1945,537760
1946,537744
1947,537760
1948,537760
1949,537728
1950,537728
1951,537776
1952,537776
1953,537744
1954,537760
1955,537744
1956,537728
1957,537744
1958,537728
1959,537744
1960,537776
1961,537760
1962,537776
1963,537760
1964,537776
1965,537744
1966,537744
1967,537728
1968,537760
1969,537760
1970,537728
1971,537728
1972,537760
1973,537744
1974,537728
1975,537744
1976,537744
1977,537760
1978,537744
1979,537760
1980,537760
1981,537760
1982,537760
1983,537728
1984,537744
1985,537744
1986,537744
1987,537760
1988,537728
1989,537744
1990,537760
1991,537712
1992,537744
1993,537744
1994,537776
1995,537744
1996,537728
1997,537744
1998,537760
1999,537744
2000,537744
2001,537744
2002,537728
2003,537760
2004,537760
2005,537760
2006,537744
2007,537728
2008,537760
2009,537744
2010,537744
2011,537744
2012,537760
2013,537760
2014,537728
2015,537744
2016,537728
2017,537728
2018,537760
2019,537744
2020,537760
2021,537760
2022,537760
2023,537760
2024,537744
2025,537776
2026,537760
2027,537728
2028,537728
2029,537744
2030,537744
2031,537744
2032,537744
2033,537760
2034,537744
2035,537744
2036,537760
2037,537744
2038,537760
2039,537744
2040,537744
2041,537744
2042,537744
2043,537760
2044,537744
2045,537744
2046,537744
2047,537728
2048,537760
2049,537728
2050,537760
2051,537776
2052,537760
2053,537728
2054,537744
2055,537760
2056,537760
2057,537744
2058,537744
2059,537728
2060,537760
2061,537744
2062,537760
2063,537760
2064,537744
2065,537760
2066,537744
2067,537760
2068,537760
2069,537760
2070,537760
2071,537728
2072,537744
2073,537728
2074,537728
2075,537760
2076,537744
2077,537728
2078,537744
2079,537728
2080,537760
2081,537744
2082,537760
2083,537744
2084,537760
2085,537728
2086,537760
2087,537760
2088,537744
2089,537728
2090,537760
2091,537744
2092,537760
2093,537728
2094,537760
2095,537744
2096,537760
2097,537776
2098,537776
2099,537776
2100,537744
2101,537744
2102,537728
2103,537744
2104,537760
2105,537760
2106,537744
2107,537744
2108,537728
2109,537760
2110,537760
2111,537760
2112,537744
2113,537760
2114,537760
2115,537776
2116,537760
2117,537728
2118,537760
2119,537760
2120,537760
2121,537760
2122,537744
2123,537744
2124,537776
2125,537760
2126,537760
2127,537744
2128,537744
2129,537744
2130,537776
2131,537760
2132,537776
2133,537744
2134,537792
2135,537744
2136,537760
2137,537760
2138,537760
2139,537776
2140,537760
2141,537776
2142,537776
2143,537744
2144,537760
2145,537744
2146,537760
2147,537760
2148,537760
2149,537728
2150,537760
2151,537760
2152,537760
2153,537744
2154,537776
2155,537760
2156,537760
2157,537744
2158,537760
2159,537744
2160,537760
2161,537760
2162,537760
2163,537776
2164,537744
2165,537792
2166,537744
2167,537760
2168,537760
2169,537728
2170,537728
2171,537776
2172,537776
2173,537760
2174,537760
2175,537760
2176,537760
2177,537744
2178,537744
2179,537760
2180,537744
2181,537760
2182,537744
2183,537760
2184,537760
2185,537744
2186,537744
2187,537760
2188,537760
2189,537760
2190,537744
2191,537744
2192,537760
2193,537744
2194,537760
2195,537728
2196,537744
2197,537744
2198,537728
2199,537760
2200,537760
2201,537776
2202,537776
2203,537776
2204,537760
2205,537712
2206,537728
2207,537744
2208,537728
2209,537744
2210,537744
2211,537744
2212,537728
2213,537744
2214,537760
2215,537760
2216,537744
2217,537760
2218,537760
2219,537744
2220,537744
2221,537744
2222,537776
2223,537728
2224,537744
2225,537728
2226,537776
2227,537744
2228,537792
2229,537728
2230,537760
2231,537728
2232,537760
2233,537760
2234,537776
2235,537744
2236,537760
2237,537744
2238,537744
2239,537744
2240,537760
2241,537760
2242,537760
2243,537744
2244,537760
2245,537760
2246,537760
2247,537760
2248,537760
2249,537744
2250,537760
2251,537760
2252,537728
2253,537728
2254,537760
2255,537728
2256,537744
2257,537760
2258,537744
2259,537728
2260,537760
2261,537744
2262,537776
2263,537760
2264,537744
2265,537744
2266,537744
2267,537760
2268,537760
2269,537792
2270,537728
2271,537776
2272,537744
2273,537760
2274,537744
2275,537760
2276,537744
2277,537760
2278,537744
2279,537760
2280,537728
2281,537760
2282,537760
2283,537744
2284,537712
2285,537744
2286,537760
2287,537776
2288,537728
2289,537744
2290,537728
2291,537760
2292,537728
2293,537744
2294,537728
2295,537744
2296,537728
2297,537744
2298,537760
2299,537776
2300,537744
2301,537728
2302,537744
2303,537728
2304,537744
2305,537776
2306,537712
2307,537760
2308,537744
2309,537744
2310,537728
2311,537760
2312,537760
2313,537728
2314,537712
2315,537728
2316,537760
2317,537744
2318,537728
2319,537744
2320,537744
2321,537744
2322,537728
2323,537728
2324,537728
2325,537776
2326,537760
2327,537744
2328,537728
2329,537744
2330,537760
2331,537776
2332,537744
2333,537760
2334,537744
2335,537728
2336,537728
2337,537744
2338,537760
2339,537744
2340,537760
2341,537728
2342,537744
2343,537760
2344,537728
2345,537760
2346,537728
2347,537744
2348,537760
2349,537744
2350,537744
2351,537744
2352,537728
2353,537760
2354,537760
2355,537744
2356,537760
2357,537760
2358,537744
2359,537744
2360,537760
2361,537744
2362,537744
2363,537776
2364,537728
2365,537744
2366,537728
2367,537744
2368,537728
2369,537744
2370,537760
2371,537744
2372,537728
2373,537728
2374,537744
2375,537776
2376,537744
2377,537728
2378,537728
2379,537760
2380,537760
2381,537760
2382,537728
2383,537776
2384,537744
2385,537760
2386,537728
2387,537744
2388,537744
2389,537744
2390,537728
2391,537744
2392,537760
2393,537728
2394,537760
2395,537760
2396,537760
2397,537744
2398,537760
2399,537760
2400,537760
2401,537728
2402,537744
2403,537760
2404,537760
2405,537760
2406,537744
2407,537744
2408,537760
2409,537776
2410,537744
2411,537744
2412,537744
2413,537760
2414,537760
2415,537744
2416,537744
2417,537728
2418,537760
2419,537744
2420,537760
2421,537744
2422,537760
2423,537744
2424,537728
2425,537728
2426,537760
2427,537744
2428,537760
2429,537760
2430,537760
2431,537760
2432,537760
2433,537760
2434,537760
2435,537760
2436,537728
2437,537760
2438,537760
2439,537728
2440,537744
2441,537760
2442,537744
2443,537744
2444,537776
2445,537728
2446,537760
2447,537744
2448,537760
2449,537760
2450,537760
2451,537744
2452,537744
2453,537728
2454,537760
2455,537744
2456,537744
2457,537792
2458,537760
2459,537728
2460,537744
2461,537760
2462,537760
2463,537728
2464,537760
2465,537760
2466,537760
2467,537744
2468,537744
2469,537744
2470,537728
2471,537744
2472,537744
2473,537760
2474,537776
2475,537744
2476,537760
2477,537760
2478,537760
2479,537792
2480,537760
2481,537744
2482,537760
2483,537728
2484,537744
2485,537760
2486,537728
2487,537744
2488,537728
2489,537776
2490,537760
2491,537744
2492,537776
2493,537744
2494,537728
2495,537776
2496,537744
